Place ID,الاسم بالعربي,الاسم بالإنجليزي,التصنيف,Latitude,Longitude,مستوى السعر,Tags,Description,التقييم,عدد التقييمات,العنوان,رابط خرائط جوجل,رقم الهاتف,الموقع الإلكتروني,الأحد,الاثنين,الثلاثاء,الأربعاء,الخميس,الجمعة,السبت
ChIJ2anw-F-gHBURsCe1UQHCWIg,حديقة صلاح الدين,Salah Al-Din Park,حدائق,31.9553412,35.8929258,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة صلاح الدين هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في ش. إبراهيم أيوب 19، عمّان.,4.1,1026,ش. إبراهيم أيوب 19، عمّان,https://maps.google.com/?cid=9824815898030319536,,https://www.trfihi-parks.com/ar/park-details/2820-%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D8%B5%D9%84%D8%A7%D8%AD-%D8%A7%D9%84%D8%AF%D9%8A%D9%86,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
ChIJjxzA3XWdHBURBlVDbJNnaRI,منتجع الغابة,The Forest Park,حدائق,32.114358,35.8956965,1,جلسات خارجية، أطفال، طبيعة، عائلي,منتجع الغابة هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في شارع الأردن، عمّان.,4.2,2772,شارع الأردن، عمّان,https://maps.google.com/?cid=1326705448111527174,07 9125 5545,https://linktr.ee/forestparkjo,10:00 ص – 8:00 م,10:00 ص – 8:00 م,10:00 ص – 8:00 م,10:00 ص – 8:00 م,10:00 ص – 8:00 م,10:00 ص – 8:00 م,10:00 ص – 8:00 م
ChIJH9IjWR2gHBURo6fjMtrXAKQ,حديقة الراية الهاشمية,Al Raya Al Hashimiyah Public Park,حدائق,31.9911457,35.9034517,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة الراية الهاشمية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XWR3+F94، عمّان.,3.8,2223,XWR3+F94، عمّان,https://maps.google.com/?cid=11817682754376804259,07 9961 0658,https://dellooni.com/ar-jo/u/29258/%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D9%8A%D8%A9-%D8%A7%D9%84%D9%87%D8%A7%D8%B4%D9%85%D9%8A%D8%A9,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
ChIJnWUJKE6gHBURhVpddq1eBUg,حديقة الأميرة إيمان,Princess Iman Park,حدائق,31.9701173,35.8798822,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة الأميرة إيمان هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في ش. الأهواز، عمّان.,4.2,496,ش. الأهواز، عمّان,https://maps.google.com/?cid=5189658244722547333,,,8:00 ص – 8:00 م,8:00 ص – 8:00 م,8:00 ص – 8:00 م,8:00 ص – 8:00 م,8:00 ص – 8:00 م,8:00 ص – 8:00 م,8:00 ص – 8:00 م
ChIJ0e6u--mgHBURiCtlfTo1TxQ,الحديقة اليابانية,Japanese Park,حدائق,31.9368102,35.8895019,1,جلسات خارجية، أطفال، طبيعة، عائلي,الحديقة اليابانية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في ش. الأمير هاشم، عمّان.,4.1,1418,ش. الأمير هاشم، عمّان,https://maps.google.com/?cid=1463446929246858120,(06) 566 4569,https://www.ammonnews.net/article/65356,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
ChIJF5pvdIehHBUR4jfQT9e4yl8,القرية الثقافية,Cultural Village,حدائق,31.9830929,35.8291425,1,جلسات خارجية، أطفال، طبيعة، عائلي,القرية الثقافية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XRMH+6MJ، عمّان.,4.1,523,XRMH+6MJ، عمّان,https://maps.google.com/?cid=6902532613795231714,,https://www.facebook.com/%D8%AD%D8%AF%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D8%AD%D8%B3%D9%8A%D9%86-%D8%B7%D9%8A%D8%A8-%D8%A7%D9%84%D9%84%D9%87-%D8%AB%D8%B1%D8%A7%D9%87-333788780050905/,8:00 ص – 9:45 م,8:00 ص – 9:45 م,مغلق,8:00 ص – 9:45 م,8:00 ص – 9:45 م,8:00 ص – 9:45 م,8:00 ص – 9:45 م
ChIJUbgdhvShHBURB48u9UzuVvA,حديقة ضاحية الحسين,AlHussein Suburb Park,حدائق,31.9693821,35.8812524,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة ضاحية الحسين هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XV9J+QG2، ش. ضاحية الحسين، عمّان.,4.3,400,XV9J+QG2، ش. ضاحية الحسين، عمّان,https://maps.google.com/?cid=17318291431398215431,,,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م
ChIJ4TRo7eSgHBURBb19X87Fez0,حديقة الديار,AlDiyar Park,حدائق,31.9482036,35.8785166,1,جلسات خارجية، أطفال، طبيعة، عائلي,حديقة الديار هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في WVXH+7CJ، ش. أحمد العروسي، عمّان.,4.3,390,WVXH+7CJ، ش. أحمد العروسي، عمّان,https://maps.google.com/?cid=4430352148605025541,,,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م
ChIJCTB5L8ihHBURW3iJM24W6PM,الحديقة المرورية,Traffic Park,حدائق,31.9852597,35.8627797,1,جلسات خارجية، أطفال، طبيعة، عائلي,الحديقة المرورية هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في XVP7+442، عمّان.,4.1,2234,XVP7+442، عمّان,https://maps.google.com/?cid=17575322208380221531,07 9517 8464,https://alghad.com/%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D9%82%D8%A9-%D8%A7%D9%84%D9%85%D8%B1%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D9%81%D9%8A%D9%87-%D8%B9%D9%86%D8%AF%D9%85%D8%A7-%D9%8A%D8%B5%D8%A8%D8%AD-%D8%A3/,8:00 ص – 10:00 م,مغلق,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م,8:00 ص – 10:00 م
ChIJ5cHp97-nHBURb-bItd6IyAI,غابة ملك مملكة البحرين _ غمدان,Ghamdan Park,حدائق,31.8563819,35.8926515,1,جلسات خارجية، أطفال، طبيعة، عائلي,غابة ملك مملكة البحرين _ غمدان هو معلم مميز في عمان ضمن تصنيف (حدائق) يقع في VV4V+H32، عمّان.,3.9,4389,VV4V+H32، عمّان,https://maps.google.com/?cid=200560673531946607,(06) 412 5291,,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
ChIJJ25PTwCfHBURtJ310XKgr9Q,لونا بارك,Luna park,ملاهي,32.0127123,35.842462,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,لونا بارك هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في شارع الملك عبدالله الثاني، عمّان.,4.7,369,شارع الملك عبدالله الثاني، عمّان,https://maps.google.com/?cid=15325644471974337972,07 9109 8989,,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,2:00–11:00 م,11:00 ص – 11:00 م
ChIJEafuvDunHBURLKaIAaDXA9k,أيكون 7,ICON7,ملاهي,31.8621035,35.8922632,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,ICON7 هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في VV6V+W23، عمّان.,4.2,1180,VV6V+W23، عمّان,https://maps.google.com/?cid=15637579413380965932,07 9079 3311,,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص
ChIJKSgwgepfGxUR6iw07dRdOPQ,فن بارك,Fun Park,ملاهي,31.9012857,35.9576974,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,Fun Park هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. إبراهيم الراشد الحناطي 73، عمّان.,4.5,117,ش. إبراهيم الراشد الحناطي 73، عمّان,https://maps.google.com/?cid=17597918713044282602,07 9111 0855,,12:00–10:00 م,12:00–10:00 م,12:00–10:00 م,12:00–10:00 م,12:00–10:00 م,12:00–10:00 م,12:00–10:00 م
ChIJc5bdaN6hHBUR_egY20EqcqQ,اوسكار كيدز بارك,Oscar Kids Park - Al-Yasmeen,ملاهي,31.9250623,35.8961501,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,اوسكار كيدز بارك هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في عمّان.,4.5,394,عمّان,https://maps.google.com/?cid=11849580031902279933,07 9274 4456,https://www.facebook.com/OscarKidsPark,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,10:00 ص – 12:00 ص,1:30 م – 12:00 ص,10:00 ص – 12:00 ص
ChIJaek7HQChHBURoiYjHmnzDrY,وونكالاند,Wonkaland,ملاهي,31.9671875,35.8759375,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,Wonkaland هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. شط العرب 8، عمّان.,4.9,1095,ش. شط العرب 8، عمّان,https://maps.google.com/?cid=13118690397379569314,07 9222 4220,http://www.wonkalandjo.com/,10:00 ص – 10:00 م,10:00 ص – 10:00 م,10:00 ص – 10:00 م,8:00 ص – 11:57 م,10:00 ص – 11:00 م,1:30–11:00 م,10:00 ص – 11:00 م
ChIJZy8VPJWnHBURSxuGDTqiAfE,ماجيك لاند,Magic Land,ملاهي,31.8565,35.895199,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"ماجيك لاند هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في The King of Bahrain Forest, Queen Alia Airport St 461، عمّان.",3.9,736,"The King of Bahrain Forest, Queen Alia Airport St 461، عمّان",https://maps.google.com/?cid=17366340008336038731,07 9707 0028,http://magiclandjo.com/,4:00 م – 12:00 ص,4:00 م – 12:00 ص,4:00 م – 12:00 ص,4:00 م – 12:00 ص,4:00 م – 12:00 ص,2:00 م – 12:00 ص,4:00 م – 12:00 ص
ChIJ6_F5-xpfGxURVBq7awrpwg4,مدينة القرية الأردنية الترفيهية - المقابلين,Jordan Village Amusement City - Al Muqabalain,ملاهي,31.9124263,35.9188526,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,مدينة القرية الأردنية الترفيهية - المقابلين هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. الصخرة المشرفة، عمّان.,3.9,2532,ش. الصخرة المشرفة، عمّان,https://maps.google.com/?cid=1063668692979227220,07 9771 7208,https://www.facebook.com/%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%A7%D9%84%D9%82%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%B1%D9%81%D9%8A%D9%87%D9%8A%D8%A9-242833766267223/,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص
ChIJxX3DcOanHBURwENYQpXjuMM,جزيرة ألعاب الحرية,Al Hurriyah Games island,"الأماكن المائية, ملاهي",31.9041187,35.8874758,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"Al Hurriyah Games island هو معلم مميز في عمان ضمن تصنيف (الأماكن المائية, ملاهي) يقع في ش. الحرية، عمّان.",4.0,412,ش. الحرية، عمّان,https://maps.google.com/?cid=14103272463313421248,07 9143 4448,https://www.facebook.com/Gamesisland.jo/,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,2:00–11:00 م,11:00 ص – 11:00 م
ChIJtyxM4SqgHBURxokiW8Cp53E,جلاكسي بارك,Galaxy Park,ملاهي,31.9990072,35.8732637,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,جلاكسي بارك هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. المدينة المنورة 270، عمّان.,4.2,1738,ش. المدينة المنورة 270، عمّان,https://maps.google.com/?cid=8207715489533823430,07 9108 8888,http://www.galaxyparkjo.com/,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,2:00–11:00 م,11:00 ص – 11:00 م
ChIJKcz1CLCnHBURb7nY-VbZ-tE,مدينة كتاو للألعاب الترفيهية,Kataw amusement park,ملاهي,31.8688656,35.8823347,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"مدينة كتاو للألعاب الترفيهية هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في National Park 492, طريق المطار، عمّان.",4.0,119,"National Park 492, طريق المطار، عمّان",https://maps.google.com/?cid=15130644865686747503,07 7040 9118,,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص,9:00 ص – 12:00 ص
ChIJsa0rcWehHBURZsrRQwPUgTI,جالاكسي بارك,Galaxy Park,ملاهي,31.9878574,35.8964465,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"Galaxy Park هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في Jamaa Street Mukhtar Mall, XVQW+4HW، د. المدينة الرياضية، عمّان.",4.3,224,"Jamaa Street Mukhtar Mall, XVQW+4HW، د. المدينة الرياضية، عمّان",https://maps.google.com/?cid=3639423084379884134,07 9108 8888,http://www.galaxyparkjo.com/,,,,,,,
ChIJTyrEw5WhHBURbFOvtbkIxac,جالاكسي بارك - تاج مول,Galaxy Park Taj Mall,ملاهي,31.9415995,35.8883134,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,Galaxy Park Taj Mall هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في Taj Life Style - Food Court Amman عمّان تاج مول الطابق ،، عمّان.,3.8,679,Taj Life Style - Food Court Amman عمّان تاج مول الطابق ،، عمّان,https://maps.google.com/?cid=12089078368456102764,07 9800 8888,,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة,نعمل على مدار 24 ساعة
ChIJi9-qAwugHBURgRZNx46quto,مدينة الحسين الترفيهية,Hussain Luna Park,ملاهي,31.9706859,35.9122848,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,مدينة الحسين الترفيهية هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. قاسم الريماوي 35، عمّان.,3.9,2578,ش. قاسم الريماوي 35، عمّان,https://maps.google.com/?cid=15761097376142268033,,,1:00 م – 1:00 ص,12:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,4:00 م – 1:00 ص,11:00 ص – 11:00 م
ChIJqRfFj5uhHBURKiEh7Q0TLpA,جرافيتي,Gravity,ملاهي,31.978087,35.844178,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,Gravity هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في ش. مكة، عمّان.,4.1,457,ش. مكة، عمّان,https://maps.google.com/?cid=10389262340924186922,07 9600 0178,,10:00 ص – 10:00 م,10:00 ص – 10:00 م,10:00 ص – 10:00 م,10:00 ص – 10:00 م,10:00 ص – 10:00 م,2:00–10:00 م,10:00 ص – 10:00 م
ChIJV53mjr6nHBURpBKa_x-TpNg,منتجع أمواج عمان المائي,Amman Waves,"الأماكن المائية, ملاهي",31.8611062,35.8906151,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"Amman Waves Aqua Park and Resort هو معلم مميز في عمان ضمن تصنيف (الأماكن المائية, ملاهي) يقع في طريق المطار، عمّان.",4.0,3153,طريق المطار، عمّان,https://maps.google.com/?cid=15610763974014538404,(06) 412 1704,,10:00 ص – 7:00 م,10:00 ص – 7:00 م,10:00 ص – 7:00 م,10:00 ص – 7:00 م,10:00 ص – 7:00 م,10:00 ص – 7:00 م,10:00 ص – 7:00 م
ChIJT3kP54ShHBURyIZKvKyhmJg,جينجوز جنجل,Jingos Jungle,ملاهي,31.9805676,35.8382295,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,"Jingos Jungle هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في City Mall, شارع الملك عبدالله الثاني 295، عمّان.",4.1,735,"City Mall, شارع الملك عبدالله الثاني 295، عمّان",https://maps.google.com/?cid=10995716253490513608,(06) 582 3700,http://www.jingosjungle.com/,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,11:00 ص – 11:00 م,12:00–11:00 م,11:00 ص – 11:00 م
ChIJVa9ZXhJgGxUR3FJKDKoVHZQ,كوينز بارك,Queens park,ملاهي,31.9926821,35.93405,3,أنشطة ومغامرة، ترفيه، أطفال وشباب,كوينز بارك هو معلم مميز في عمان ضمن تصنيف (ملاهي) يقع في XWVM+3JF، عمّان.,4.0,1181,XWVM+3JF، عمّان,https://maps.google.com/?cid=10672710512032764636,(06) 506 9213,https://www.waffaraktar.com/%D8%B9%D8%B1%D9%88%D8%B6-%D9%83%D9%88%D9%8A%D9%86%D8%B2-%D8%A8%D8%A7%D8%B1%D9%83-%D8%A7%D9%84%D8%A7%D8%B1%D8%AF%D9%86-%D8%AD%D8%AA%D9%89-31-%D8%A3%D9%83%D8%AA%D9%88%D8%A8%D8%B1-2017,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص,8:00 ص – 1:00 ص
ChIJ6a5e2o9fGxURCQ1m1ViKn0c,رومي كافيه,Rumi Cafe and Deli,كافيهات,31.9561361,35.9258616,2,سهرة، جلسات شبابية وعائلية، أكل وشرب,رومي كافيه هو معلم مميز في عمان ضمن تصنيف (كافيهات) يقع في ش. كلية الشريعة 14، عمّان.,4.6,5626,ش. كلية الشريعة 14، عمّان,https://maps.google.com/?cid=5160995812131867913,(06) 464 4131,http://rumijordan.com/,7:00 ص – 11:30 م,7:00 ص – 11:30 م,7:00 ص – 11:30 م,7:00 ص – 11:30 م,7:00 ص – 11:30 م,"7:00 ص – 12:45 م, 1:15–11:30 م",7:00 ص – 11:30 م
ChIJ6bEqS5yhHBURqWN17-8iHq4,كي كوفي,K coffee,كافيهات,31.9668982,35.8737925,2,سهرة، جلسات شبابية وعائلية، أكل وشرب,K coffee هو معلم مميز في عمان ضمن تصنيف (كافيهات) يقع في ش. شط العرب، عمّان.,4.8,2606,ش. شط العرب، عمّان,https://maps.google.com/?cid=12546504025810756521,07 9120 3020,https://kgroupjo.com/k-coffee-house1,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص,8:30 ص – 1:00 ص
